year,makedate,current,difference
1980,1980-01-01,2024-04-19,44
1981,1981-01-01,2024-04-19,43
1982,1982-01-01,2024-04-19,42
1983,1983-01-01,2024-04-19,41
1984,1984-01-01,2024-04-19,40
1985,1985-01-01,2024-04-19,39
1986,1986-01-01,2024-04-19,38
1987,1987-01-01,2024-04-19,37
1988,1988-01-01,2024-04-19,36
1989,1989-01-01,2024-04-19,35
1990,1990-01-01,2024-04-19,34
1991,1991-01-01,2024-04-19,33
1992,1992-01-01,2024-04-19,32
1993,1993-01-01,2024-04-19,31
1994,1994-01-01,2024-04-19,30
1995,1995-01-01,2024-04-19,29
1996,1996-01-01,2024-04-19,28
1997,1997-01-01,2024-04-19,27
1998,1998-01-01,2024-04-19,26
1999,1999-01-01,2024-04-19,25
2000,2000-01-01,2024-04-19,24
2001,2001-01-01,2024-04-19,23
2002,2002-01-01,2024-04-19,22
2003,2003-01-01,2024-04-19,21
2004,2004-01-01,2024-04-19,20
2005,2005-01-01,2024-04-19,19
2006,2006-01-01,2024-04-19,18
2007,2007-01-01,2024-04-19,17
2008,2008-01-01,2024-04-19,16
2009,2009-01-01,2024-04-19,15
2010,2010-01-01,2024-04-19,14
2011,2011-01-01,2024-04-19,13
2012,2012-01-01,2024-04-19,12
2013,2013-01-01,2024-04-19,11
2014,2014-01-01,2024-04-19,10
2015,2015-01-01,2024-04-19,9
2016,2016-01-01,2024-04-19,8
2017,2017-01-01,2024-04-19,7
2018,2018-01-01,2024-04-19,6
2019,2019-01-01,2024-04-19,5
2020,2020-01-01,2024-04-19,4
